key	source	title	category	license	url
good-corporation-bad-corporation-corporate-social-responsibility-in-the-global-economy-milne-open-textbooks-141	B.C. Open Collection	Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy (Milne Open Textbooks)	Business	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/141/formats/Good_Corp_Bad_Corp_1bf79d8f21.pdf
introduction-to-oceanography-roger-williams-university-181	B.C. Open Collection	Introduction to Oceanography (Roger Williams University)	Earth and Ocean Sciences	CC BY 4.0	https://rwu.pressbooks.pub/webboceanography/open/download?type=pdf
leyendas-y-arquetipos-del-romanticismo-espanol-segunda-edicion-portland-state-university-library-210	B.C. Open Collection	Leyendas y arquetipos del Romanticismo español - Segunda edición (Portland State University Library)	Humanities	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/210/formats/Leyendas_y_arquetipos_del_Romanticismo_espanol_Segunda_edicion_65d250f6be.pdf
nursing-care-at-the-end-of-life-what-every-clinician-should-know-open-suny-textbooks-255	B.C. Open Collection	Nursing Care at the End of Life: What Every Clinician Should Know (Open SUNY Textbooks)	Health and Medical	CC BY-NC-SA 4.0	https://milnepublishing.geneseo.edu/nursingcare/open/download?type=pdf
greek-and-latin-roots-145	B.C. Open Collection	Greek and Latin Roots: Part II - Greek (University of Victoria)	Humanities	CC BY 4.0	https://pressbooks.bccampus.ca/greeklatinroots2/open/download?type=pdf
creative-clinical-teaching-in-the-health-professions-athabasca-university-press-91	B.C. Open Collection	Creative Clinical Teaching in the Health Professions (Athabasca University Press)	Education	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/91/formats/Creative_Clinical_Teaching_in_the_Health_Professions_1557547389_c0042b0de5.pdf
vaccine-practice-for-health-professionals-1st-canadian-edition	B.C. Open Collection	Vaccine Practice for Health Professionals - 1st Canadian Edition (eCampusOntario )	Health and Medical	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/357/formats/Vaccine_Practice_for_Health_Professionals_1st_Canadian_Edition_1583175228_266ef5f6f5.pdf
introduction-to-women-gender-sexuality-studies-university-of-massachusetts-amherst-libraries-195	B.C. Open Collection	Introduction to Women, Gender, Sexuality Studies (University of Massachusetts Amherst Libraries)	Humanities	CC BY 4.0	http://openbooks.library.umass.edu/introwgss/open/download?type=pdf
basic-motor-control-bccampus-35	B.C. Open Collection	Basic Motor Control (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/basicmotorcontrol/open/download?type=pdf
iot-use-cases-and-technologies-british-columbia-institute-of-technology-202	B.C. Open Collection	IoT Use Cases and Technologies (British Columbia Institute of Technology)	Computer Science	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/iotbook/open/download?type=pdf
line-e-electrical-fundamentals-competency-e-2-identify-common-circuit-components-and-their-symbols-bccampus-229	B.C. Open Collection	Line E - Electrical Fundamentals Competency E-2: Identify Common Circuit Components and Their Symbols (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/229/formats/E_2_59b890574d.pdf
intermediate-financial-accounting-volume-1-2021a-lyryx-166	B.C. Open Collection	Intermediate Financial Accounting: Volume 1 - 2021A (Lyryx)	Business	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/166/formats/OTB_155_02_Intermediate_Financial_Accounting_Vol1_2021_A_f7c2d3ad73.pdf
exploring-movie-construction-and-production-open-suny-textbooks-122	B.C. Open Collection	Exploring Movie Construction and Production (Open SUNY Textbooks)	Art and Design	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/122/formats/Exploring_Movie_Construction_and_Production_1499438054_77ffe159eb.pdf
prose-fiction	B.C. Open Collection	Prose Fiction: An Introduction to the Semiotics of Narrative (Open Book Publishers)	Communication & Writing	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/300/formats/Ribo_Narrative_Guide_d43d625226.pdf
human-resource-management-university-of-minnesota-libraries-publishing-156	B.C. Open Collection	Human Resource Management (University of Minnesota Libraries Publishing)	Business	CC BY-NC-SA 4.0	https://open.lib.umn.edu/humanresourcemanagement/open/download?type=pdf
physical-geology-h5p-edition-bccampus-405	B.C. Open Collection	Physical Geology - H5P Edition (BCcampus)	Earth and Ocean Sciences	CC BY-NC-SA 4.0	https://opentextbc.ca/physicalgeologyh5p/open/download?type=pdf
a-guide-to-numeracy-in-nursing-bccampus-409	B.C. Open Collection	A Guide to Numeracy in Nursing  (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/nursingnumeracy/open/download?type=pdf
introduction-to-logic-and-critical-thinking-university-of-minnesota-libraries-180	B.C. Open Collection	Introduction to Logic and Critical Thinking (University of Minnesota Libraries)	Humanities	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/180/formats/Logic_text_v_1_4_93b747112d.pdf
elementary-differential-equations-with-boundary-value-problems-trinity-university-107	B.C. Open Collection	Elementary Differential Equations with Boundary Value Problems (Trinity University)	Math & Stats	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/107/formats/Elementary_Differential_Equations_with_Boundary_Value_Problems_a1877c0683.pdf
complexites-capacites-communautes-changer-le-discours-sur-le-developpement-dans-leducation-la-protection-et-le-developpement-de-la-petite-enfance-university-of-victoria-84	B.C. Open Collection	Complexités, Capacités, Communautés: Changer le discours sur le développement dans l’éducation, la protection et le développement de la petite enfance (University of Victoria)	Education	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/84/formats/Complexites_Capacites_Communautes_Bookmarked_fcc14efdba.pdf
advanced-english-bccampus-20	B.C. Open Collection	Advanced English (BCcampus)	Communication & Writing	CC BY-NC 4.0	https://opentextbc.ca/advancedenglish/open/download?type=pdf
adult-literacy-fundamental-mathematics-book-5-bccampus-18	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 5 (BCcampus)	Math & Stats	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/18/formats/ALF_Math_Book_5_PDF_69261ef1e6.pdf
korean-through-folktales-portland-state-university-library-207	B.C. Open Collection	Korean Through Folktales (Portland State University Library)	Language Learning	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/207/formats/Korean_Through_Folktales_101ab3f8a0.pdf
handbook-of-ehealth-evaluation	B.C. Open Collection	Handbook of eHealth Evaluation: An Evidence-based Approach (University of Victoria)	Health and Medical	CC BY-NC 2.5	https://cdn.collection.bccampus.ca/resources/textbooks/148/formats/Lau_Francis_Handbook_of_e_Health_Evaluation_REV_Oct2017_c191431dea.pdf
block-a-sewers-plumbing-apprenticeship-program-level-3-bccampus-388	B.C. Open Collection	Block A: Sewers: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3a/open/download?type=pdf
human-resources-in-the-food-service-and-hospitality-industry-bccampus-157	B.C. Open Collection	Human Resources in the Food Service and Hospitality Industry (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/humanresourcesinfoodservices/open/download?type=pdf
adult-literacy-fundamental-mathematics-book-6-2nd-edition-bccampus-19	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 6 - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm6/open/download?type=pdf
blueprint-for-success-in-college-and-career-rebus-community-50	B.C. Open Collection	Blueprint for Success in College and Career (Rebus Community)	Academic-Career Success	CC BY 4.0	https://press.rebus.community/blueprint2/open/download?type=pdf
