key	source	title	category	license	url
intermediate-statistics-with-r	Open Textbook Library	Intermediate Statistics with R		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2638
women-worldwide-transnational-feminist-perspectives	Open Textbook Library	Women Worldwide: Transnational Feminist Perspectives - 2nd Edition		CC BY	https://open.umn.edu/opentextbooks/formats/2932
guide-to-ancient-greek-art-ezra	Open Textbook Library	Guide to Ancient Greek Art		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1457
principles-of-finance	Open Textbook Library	Principles of Finance		CC BY	https://open.umn.edu/opentextbooks/formats/2941
first-amendment-cases-controversies-and-contexts	Open Textbook Library	First Amendment: Cases, Controversies, and Contexts - Second Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/407
about-writing-a-guide	Open Textbook Library	About Writing: A Guide		CC BY	https://open.umn.edu/opentextbooks/formats/1603
elementary-earth-and-space-science-methods-2019	Open Textbook Library	Elementary Earth and Space Science Methods		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2070
political-ideologies-and-worldviews-an-introduction	Open Textbook Library	Political Ideologies and Worldviews: An Introduction		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2562
the-discipline-of-organizing-4th-professional-edition	Open Textbook Library	The Discipline of Organizing: 4th Professional Edition		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1799
together-the-science-of-social-psychology	Open Textbook Library	Together: The Science of Social Psychology		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/475
sexual-orientation-and-gender-identity-employment-discrimination	Open Textbook Library	Sexual Orientation and Gender Identity Employment Discrimination		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/999
social-problems-continuity-and-change	Open Textbook Library	Social Problems: Continuity and Change		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1728
introduction-to-engineering-thermodynamics	Open Textbook Library	Introduction to Engineering Thermodynamics		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3128
elementary-algebra	Open Textbook Library	Elementary Algebra		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/246
supporting-secondary-teachers-critical-disciplinary-literacies	Open Textbook Library	Supporting Secondary Teachers’ Critical Disciplinary Literacies		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3568
