key	source	title	category	license	url
business-ethics	OpenStax	Business Ethics	Business	CC BY 4.0	https://openstax.org/books/business-ethics/pages/preface
business-law-i-essentials	OpenStax	Business Law I Essentials	Business	CC BY 4.0	https://openstax.org/books/business-law-i-essentials/pages/preface
entrepreneurship	OpenStax	Entrepreneurship	Business	CC BY 4.0	https://openstax.org/books/entrepreneurship/pages/preface
introduction-business	OpenStax	Introduction Business	Business	CC BY 4.0	https://openstax.org/books/introduction-business/pages/preface
introduction-intellectual-property	OpenStax	Introduction Intellectual Property	Business	CC BY 4.0	https://openstax.org/books/introduction-intellectual-property/pages/preface
introductory-business-statistics	OpenStax	Introductory Business Statistics	Business	CC BY 4.0	https://openstax.org/books/introductory-business-statistics/pages/preface
mikroekonomia-podstawy	OpenStax	Mikroekonomia Podstawy	Business	CC BY 4.0	https://openstax.org/books/mikroekonomia-podstawy/pages/preface
organizational-behavior	OpenStax	Organizational Behavior	Business	CC BY 4.0	https://openstax.org/books/organizational-behavior/pages/preface
principles-economics-3e	OpenStax	Principles Economics 3E	Business	CC BY 4.0	https://openstax.org/books/principles-economics-3e/pages/preface
principles-finance	OpenStax	Principles Finance	Business	CC BY 4.0	https://openstax.org/books/principles-finance/pages/preface
principles-financial-accounting	OpenStax	Principles Financial Accounting	Business	CC BY 4.0	https://openstax.org/books/principles-financial-accounting/pages/preface
principles-macroeconomics-3e	OpenStax	Principles Macroeconomics 3E	Business	CC BY 4.0	https://openstax.org/books/principles-macroeconomics-3e/pages/preface
principles-management	OpenStax	Principles Management	Business	CC BY 4.0	https://openstax.org/books/principles-management/pages/preface
principles-managerial-accounting	OpenStax	Principles Managerial Accounting	Business	CC BY 4.0	https://openstax.org/books/principles-managerial-accounting/pages/preface
principles-marketing	OpenStax	Principles Marketing	Business	CC BY 4.0	https://openstax.org/books/principles-marketing/pages/preface
principles-microeconomics-3e	OpenStax	Principles Microeconomics 3E	Business	CC BY 4.0	https://openstax.org/books/principles-microeconomics-3e/pages/preface
college-success	OpenStax	College Success	College Success	CC BY 4.0	https://openstax.org/books/college-success/pages/preface
college-success-concise	OpenStax	College Success Concise	College Success	CC BY 4.0	https://openstax.org/books/college-success-concise/pages/preface
preparing-for-college-success	OpenStax	Preparing For College Success	College Success	CC BY 4.0	https://openstax.org/books/preparing-for-college-success/pages/preface
business-law-i-essentials	OpenStax	Business Law I Essentials	Essentials	CC BY 4.0	https://openstax.org/books/business-law-i-essentials/pages/preface
introduction-philosophy	OpenStax	Introduction Philosophy	Humanities	CC BY 4.0	https://openstax.org/books/introduction-philosophy/pages/preface
us-history	OpenStax	Us History	Humanities	CC BY 4.0	https://openstax.org/books/us-history/pages/preface
world-history-volume-1	OpenStax	World History Volume 1	Humanities	CC BY 4.0	https://openstax.org/books/world-history-volume-1/pages/preface
world-history-volume-2	OpenStax	World History Volume 2	Humanities	CC BY 4.0	https://openstax.org/books/world-history-volume-2/pages/preface
writing-guide	OpenStax	Writing Guide	Humanities	CC BY 4.0	https://openstax.org/books/writing-guide/pages/preface
biology-ap-courses	OpenStax	Biology Ap Courses	K12	CC BY 4.0	https://openstax.org/books/biology-ap-courses/pages/preface
